Product Name,Price (RM),Size (ml)
Zahra,70.0,35
Le Verre,70.0,35
Victoria,70.0,35
Valerie,70.0,35
Nemesis,70.0,35
Green Tea,10.0,10
Forest Dream,10.0,10
Nemesis Bold,39.0,15
Stella,70.0,35
Chaleur,70.0,35
Blaze,70.0,35
Posh,70.0,35
Cupcakes & Cream,10.0,10
Vanilla Fresh,10.0,10
Vigor Spice,39.0,15
Victoria Fabulous,39.0,15
Pandan Gourmet,10.0,10
Rain Forest,10.0,10
Ocean Breeze,10.0,10
Violet Ocean,10.0,10
Coffee Warm,10.0,10
Majestic,70.0,35
Himeros,70.0,35
Epice,70.0,35
Heroic,70.0,35
Grandeur,70.0,35
Devotion Phantom,39.0,15
Woodbine Aqua,39.0,15
Grandeur Prime,39.0,15
Titus,70.0,35
Rough,70.0,35
Woodbine,70.0,35
Travel Spray Cinta Syurga,49.0,15
Air Freshener Cinta Syurga,15.0,10
Dark Amberwood,70.0,35
Amber Rouge,85.0,35
Devotion,70.0,35
